# C->Lua event fire sites of the 1.12.1 client (build 5875): every call and tail-jmp to
# FrameScript_SignalEvent (0x703e50, ecx=eventId) and SignalEvent2 (0x703f50, [esp]=eventId +
# printf-style arg_format). eventId is resolved via 1.12-event-catalog.tsv; "dyn" = computed
# (e.g. a UnitField update loop); a blank name = the id has no entry in the name table.
#
# arg_format is the format string the site pushes: a declaration, not a census of what the
# caller pushed. The marshaller 0x704f10 consumes one vararg per directive (%f eight bytes,
# everything else four), so a format that declares more than its caller pushed hands Lua
# undefined values. Of the 149 SignalEvent2 sites exactly three do: 0x496230
# TRADE_REPLACE_ENCHANT "%s%s%d" declares 3 and pushes 2; 0x5e4527 and 0x5e7960 UPDATE_TICKET
# "%d%s%f%f%f%d%d" declare 10 dwords and push 7 (their sibling 0x5e45e2 pushes the full 12).
# Every other site's format matches its caller.
#
# The name column resolves every id through the in-game table (0xbe1198, 549 entries). 0x703d90
# is called twice with different populations, 0x46a88f with (0xb41e70, 26) for the glue phase
# and 0x48feab with (0xbe1198, 549) for the world, and rebuilds [0xceef68] wholesale from
# whichever it is handed, so the same integer names a different event in the two phases, and
# 0x703e50 bounds-checks nothing. 22 rows here sit in a `Source\Glue\` TU (0x46aa34;
# 0x46bc9d-0x46c52e inside 0x46b930; 0x46e73d; 0x47461e): their ids belong to the glue space and
# are never named from 1.12-event-catalog.tsv; their names are blank here. 0x46aa34 fires id 22,
# which is FRAMES_LOADED in the glue table (GlueParent.lua:94), not the in-game UNIT_MAXHEALTH.
#
# An event with no row here is not an event with no producer. This covers the two signal
# helpers' own call/jmp sites, and the per-field UNIT_* family reaches them through a wrapper:
# 0x515e50(&guid, id) fans out over the unit tokens and fires 0x703f50(id, "%s", token) at
# 0x515e7a, the "?" row below. Its 38 callers carry the id in edx; one of them, 0x51bd5b in the
# UpdateField watch callback 0x51bd50, computes it as (registered field byte offset >> 2), so
# ids 0x00-0xb5 (every named unit descriptor field, UNIT_FLAGS 40 included) are produced there
# and appear nowhere in this file. 0x51bd50 is the sole producer of 40; its fire condition is a
# repe cmpsb of the watched span against the object's shadow, at 0x4655bb. Most other
# 0x515e50 sites carry a literal id in edx, absent here too at any magnitude: {0x10 0x16 0x1c
# 0x1d 0x1e 0x29 0xb7 0xb8 0xb9 0xba 0xbb 0x159 0x197 0x20a}. So 0x197 = 407
# PLAYER_FLAGS_CHANGED (0x5eea35 mov edx,0x197 / 0x5eea3d call 0x515e50, inside the
# PLAYER_FLAGS delta handler 0x5ee990) lies outside 0x00-0xb5 and still has a producer. Same
# shape for 0x5de4b0 (id = its userdata, arg1 hardcoded "player") and 0x49b199 (id from the
# table at 0x8062e0).
fire_site_va	dispatcher	eventId	name	arg_format
0x4018df	SignalEvent2	259	TIME_PLAYED_MSG	%d%d
0x46aa34	SignalEvent	22		
0x46b04d	SignalEvent2	3		%s
0x46b0ac	SignalEvent2	3		%s%s
0x46b0d2	SignalEvent2	3		%s
0x46b1a4	SignalEvent2	3		%s%s
0x46b1e7	SignalEvent2	3		%s%s
0x46b26c	SignalEvent2	3		%s%s
0x46b2c4	SignalEvent2	3		%s%s
0x46b31e	SignalEvent2	3		%s%s
0x46b388	SignalEvent2	23	UNIT_MAXMANA	%s
0x46b3c0	SignalEvent2	3		%s%s
0x46b48b	SignalEvent	5		
0x46b4a8	SignalEvent2	23	UNIT_MAXMANA	%s
0x46b4cd	SignalEvent2	23	UNIT_MAXMANA	%s
0x46b5a5	SignalEvent2	3		%s%s
0x46b5c2	SignalEvent2	23	UNIT_MAXMANA	%s
0x46b848	SignalEvent2	0	UNIT_PET	%s
0x46b8af	SignalEvent2	3		%s%s
0x46b8fa	SignalEvent2	3		%s%s
0x46b964	SignalEvent2	21	UNIT_HAPPINESS	%s
0x46bac8	SignalEvent	5		
0x46bb15	SignalEvent2	25	UNIT_MAXFOCUS	%d%d%d%d%d%d%d%d%d%d
0x46bc9d	SignalEvent2	3		%s%s
0x46bdfc	SignalEvent2	4		%s%s
0x46be81	SignalEvent2	4		%s%s
0x46be96	SignalEvent2	4		%s
0x46bee7	SignalEvent2	3		%s%s
0x46bf6f	SignalEvent2	3		%s%s%s
0x46bf91	SignalEvent	5		
0x46c04a	SignalEvent2	4		%s
0x46c08f	SignalEvent	5		
0x46c0b4	SignalEvent2	?		%s
0x46c0dd	SignalEvent	5		
0x46c103	SignalEvent2	4		%s
0x46c129	SignalEvent	5		
0x46c133	SignalEvent	12		
0x46c15e	SignalEvent2	4		%s
0x46c183	SignalEvent2	3		%s%s
0x46c1a2	SignalEvent	13		
0x46c298	SignalEvent2	3		%s%s
0x46c52e	SignalEvent	15		
0x46c5b0	SignalEvent2	3		%s%s
0x46c62e	SignalEvent	2	UNIT_PET	
0x46c68f	SignalEvent2	3		%s%s
0x46e73d	SignalEvent	9		
0x46e9cb	SignalEvent	9		
0x46ea1a	SignalEvent	9		
0x46eb44	SignalEvent2	18	UNIT_RAGE	%d%d
0x46ec26	SignalEvent	9		
0x46ec42	SignalEvent2	18	UNIT_RAGE	%d%d
0x47120c	SignalEvent2	3		%s%s
0x47256d	SignalEvent	7		
0x4725e1	SignalEvent	7		
0x472732	SignalEvent	7		
0x47276c	SignalEvent2	8		%d
0x4735d2	SignalEvent2	23	UNIT_MAXMANA	%s
0x47461e	SignalEvent	5		
0x474b39	SignalEvent2	3		%s%s
0x474b94	SignalEvent	17	UNIT_MANA	
