# The 1.12.1 client's FrameScript events and the arguments their producers push.
# Generated by scripts/gen-reference-events.py from reference/1.12-event-catalog.tsv
# and reference/1.12-event-firesites.tsv.
#
# arg_formats  `|`-separated, one per distinct producer shape. `()` = zero Lua values.
#              Directives: %s string, %d/%u number, %f number. An event with two
#              producers of different shapes carries both; which one fires depends
#              on the transition, not the name.
# conf         exact = gate on it. advisory = a contributing site declares more
#              varargs than it pushes. none = no producer family reaches it here,
#              which does not mean it has none; never gate on it.
# producers    signal (0x703e50, no varargs) | signal2 (0x703f50, format-driven) |
#              unit-field-bridge (0x51bbb0/0x51bd50 -> 0x515e50, always %s) |
#              token-fanout (0x515e50 with a literal id, also %s).
# 394 events, 278 with a known producer; 22 glue-space fire sites dropped.
name	ids	producers	arg_formats	conf	note
ACTIONBAR_HIDEGRID	211	signal	()	exact	
ACTIONBAR_PAGE_CHANGED	212	signal	()	exact	
ACTIONBAR_SHOWGRID	210	signal	()	exact	
ACTIONBAR_SLOT_CHANGED	213	signal2	%d	exact	
ACTIONBAR_UPDATE_COOLDOWN	216	signal	()	exact	
ACTIONBAR_UPDATE_STATE	214	signal	()	exact	
ACTIONBAR_UPDATE_USABLE	215	signal	()	exact	
ADDON_ACTION_FORBIDDEN	432	signal2	%s	exact	
ADDON_LOADED	429	signal2	%s	exact	
AREA_SPIRIT_HEALER_IN_RANGE	527	signal	()	exact	
AREA_SPIRIT_HEALER_OUT_OF_RANGE	528	signal	()	exact	
AUCTION_BIDDER_LIST_UPDATE	426	signal	()	exact	
AUCTION_HOUSE_CLOSED	422	signal	()	exact	
AUCTION_HOUSE_SHOW	421	signal	()	exact	
AUCTION_ITEM_LIST_UPDATE	424	signal	()	exact	
AUCTION_OWNED_LIST_UPDATE	425	signal	()	exact	
AUTOEQUIP_BIND_CONFIRM	289	signal2	%d	exact	
AUTOFOLLOW_BEGIN	367	signal2	%s	exact	
AUTOFOLLOW_END	368	signal	()	exact	
BAG_CLOSED	329	signal2	%d	exact	
BAG_OPEN	327	signal2	%d	exact	
BAG_UPDATE	328	signal2	%d	exact	
BAG_UPDATE_COOLDOWN	330	signal	()	exact	
BANKFRAME_CLOSED	349	signal	()	exact	
BANKFRAME_OPENED	348	signal	()	exact	
BATTLEFIELDS_CLOSED	418	signal	()	exact	
BATTLEFIELDS_SHOW	417	signal	()	exact	
BILLING_NAG_DIALOG	517	signal2	%d	exact	
BIND_ENCHANT	402	signal	()	exact	
CANCEL_LOOT_ROLL	506	signal2	%d	exact	
CHARACTER_POINTS_CHANGED	264	signal2	%d%d	exact	
CHAT_MSG_ADDON	227	signal2	%s%s%s%s	exact	
CHAT_MSG_AFK	249		?	none	
CHAT_MSG_BATTLEGROUND	546		?	none	
CHAT_MSG_BATTLEGROUND_LEADER	547		?	none	
CHAT_MSG_BG_SYSTEM_ALLIANCE	497		?	none	
CHAT_MSG_BG_SYSTEM_HORDE	498		?	none	
CHAT_MSG_BG_SYSTEM_NEUTRAL	496		?	none	
CHAT_MSG_CHANNEL	243		?	none	
CHAT_MSG_CHANNEL_JOIN	244		?	none	
CHAT_MSG_CHANNEL_LEAVE	245		?	none	
CHAT_MSG_CHANNEL_LIST	246		?	none	
CHAT_MSG_CHANNEL_NOTICE	247		?	none	
CHAT_MSG_CHANNEL_NOTICE_USER	248		?	none	
CHAT_MSG_COMBAT_CREATURE_VS_CREATURE_HITS	455		?	none	
CHAT_MSG_COMBAT_CREATURE_VS_CREATURE_MISSES	456		?	none	
CHAT_MSG_COMBAT_CREATURE_VS_PARTY_HITS	453		?	none	
CHAT_MSG_COMBAT_CREATURE_VS_PARTY_MISSES	454		?	none	
CHAT_MSG_COMBAT_CREATURE_VS_SELF_HITS	451		?	none	
CHAT_MSG_COMBAT_CREATURE_VS_SELF_MISSES	452		?	none	
CHAT_MSG_COMBAT_FACTION_CHANGE	533		?	none	
CHAT_MSG_COMBAT_FRIENDLYPLAYER_HITS	447		?	none	
CHAT_MSG_COMBAT_FRIENDLYPLAYER_MISSES	448		?	none	
CHAT_MSG_COMBAT_FRIENDLY_DEATH	457		?	none	
CHAT_MSG_COMBAT_HONOR_GAIN	460		?	none	
CHAT_MSG_COMBAT_HOSTILEPLAYER_HITS	449		?	none	
CHAT_MSG_COMBAT_HOSTILEPLAYER_MISSES	450		?	none	
CHAT_MSG_COMBAT_HOSTILE_DEATH	458		?	none	
CHAT_MSG_COMBAT_LOG	251		?	none	
CHAT_MSG_COMBAT_MISC_INFO	358		?	none	
CHAT_MSG_COMBAT_PARTY_HITS	445		?	none	
CHAT_MSG_COMBAT_PARTY_MISSES	446		?	none	
CHAT_MSG_COMBAT_PET_HITS	443		?	none	
CHAT_MSG_COMBAT_PET_MISSES	444		?	none	
CHAT_MSG_COMBAT_SELF_HITS	441		?	none	
CHAT_MSG_COMBAT_SELF_MISSES	442		?	none	
CHAT_MSG_COMBAT_XP_GAIN	459		?	none	
CHAT_MSG_DND	250		?	none	
CHAT_MSG_EMOTE	236		?	none	
CHAT_MSG_FILTERED	544		?	none	
CHAT_MSG_GUILD	231		?	none	
CHAT_MSG_IGNORED	252		?	none	
CHAT_MSG_LOOT	254		?	none	
CHAT_MSG_MONEY	255		?	none	
CHAT_MSG_MONSTER_EMOTE	242		?	none	
CHAT_MSG_MONSTER_SAY	239		?	none	
CHAT_MSG_MONSTER_WHISPER	241		?	none	
CHAT_MSG_MONSTER_YELL	240		?	none	
CHAT_MSG_OFFICER	232		?	none	
CHAT_MSG_PARTY	229		?	none	
CHAT_MSG_RAID	230		?	none	
CHAT_MSG_RAID_BOSS_EMOTE	541		?	none	
CHAT_MSG_RAID_LEADER	256		?	none	
CHAT_MSG_RAID_WARNING	257		?	none	
CHAT_MSG_SAY	228		?	none	
CHAT_MSG_SKILL	253		?	none	
CHAT_MSG_SPELL_AURA_GONE_OTHER	482		?	none	
CHAT_MSG_SPELL_AURA_GONE_PARTY	481		?	none	
CHAT_MSG_SPELL_AURA_GONE_SELF	480		?	none	
CHAT_MSG_SPELL_BREAK_AURA	484		?	none	
CHAT_MSG_SPELL_CREATURE_VS_CREATURE_BUFF	476		?	none	
CHAT_MSG_SPELL_CREATURE_VS_CREATURE_DAMAGE	475		?	none	
CHAT_MSG_SPELL_CREATURE_VS_PARTY_BUFF	474		?	none	
CHAT_MSG_SPELL_CREATURE_VS_PARTY_DAMAGE	473		?	none	
CHAT_MSG_SPELL_CREATURE_VS_SELF_BUFF	472		?	none	
CHAT_MSG_SPELL_CREATURE_VS_SELF_DAMAGE	471		?	none	
CHAT_MSG_SPELL_DAMAGESHIELDS_ON_OTHERS	479		?	none	
CHAT_MSG_SPELL_DAMAGESHIELDS_ON_SELF	478		?	none	
CHAT_MSG_SPELL_FAILED_LOCALPLAYER	495		?	none	
CHAT_MSG_SPELL_FRIENDLYPLAYER_BUFF	468		?	none	
CHAT_MSG_SPELL_FRIENDLYPLAYER_DAMAGE	467		?	none	
CHAT_MSG_SPELL_HOSTILEPLAYER_BUFF	470		?	none	
CHAT_MSG_SPELL_HOSTILEPLAYER_DAMAGE	469		?	none	
CHAT_MSG_SPELL_ITEM_ENCHANTMENTS	483		?	none	
CHAT_MSG_SPELL_PARTY_BUFF	466		?	none	
CHAT_MSG_SPELL_PARTY_DAMAGE	465		?	none	
CHAT_MSG_SPELL_PERIODIC_CREATURE_BUFFS	494		?	none	
CHAT_MSG_SPELL_PERIODIC_CREATURE_DAMAGE	493		?	none	
CHAT_MSG_SPELL_PERIODIC_FRIENDLYPLAYER_BUFFS	490		?	none	
CHAT_MSG_SPELL_PERIODIC_FRIENDLYPLAYER_DAMAGE	489		?	none	
CHAT_MSG_SPELL_PERIODIC_HOSTILEPLAYER_BUFFS	492		?	none	
CHAT_MSG_SPELL_PERIODIC_HOSTILEPLAYER_DAMAGE	491		?	none	
CHAT_MSG_SPELL_PERIODIC_PARTY_BUFFS	488		?	none	
CHAT_MSG_SPELL_PERIODIC_PARTY_DAMAGE	487		?	none	
CHAT_MSG_SPELL_PERIODIC_SELF_BUFFS	486		?	none	
CHAT_MSG_SPELL_PERIODIC_SELF_DAMAGE	485		?	none	
CHAT_MSG_SPELL_PET_BUFF	464		?	none	
CHAT_MSG_SPELL_PET_DAMAGE	463		?	none	
CHAT_MSG_SPELL_SELF_BUFF	462		?	none	
CHAT_MSG_SPELL_SELF_DAMAGE	461		?	none	
CHAT_MSG_SPELL_TRADESKILLS	477		?	none	
CHAT_MSG_SYSTEM	238		?	none	
CHAT_MSG_TEXT_EMOTE	237		?	none	
CHAT_MSG_WHISPER	234		?	none	
CHAT_MSG_WHISPER_INFORM	235		?	none	
CHAT_MSG_YELL	233		?	none	
CINEMATIC_START	370	signal	()	exact	
CINEMATIC_STOP	371	signal	()	exact	
CLOSE_INBOX_ITEM	515	signal2	%d	exact	
CLOSE_TABARD_FRAME	375	signal	()	exact	
CLOSE_WORLD_MAP	373	signal	()	exact	
COMBAT_TEXT_UPDATE	542	signal2	%s|%s%s|%s%s%s	exact	
CONFIRM_BINDER	513	signal2	%s	exact	
CONFIRM_LOOT_ROLL	507	signal2	%d%d	exact	
CONFIRM_PET_UNLEARN	529	signal2	%d	exact	
CONFIRM_SUMMON	516	signal	()	exact	
CONFIRM_TALENT_WIPE	512	signal2	%d	exact	
CONFIRM_XP_LOSS	396	signal2	%d	exact	
CORPSE_IN_INSTANCE	398		?	none	
CORPSE_IN_RANGE	397		?	none	
CORPSE_OUT_OF_RANGE	399	signal	()	exact	
CRAFT_CLOSE	361	signal	()	exact	
CRAFT_SHOW	359	signal	()	exact	
CRAFT_UPDATE	360	signal	()	exact	
CURRENT_SPELL_CAST_CHANGED	261	signal	()	exact	
CURSOR_UPDATE	292	signal	()	exact	
CVAR_UPDATE	312	signal2	%s%s	exact	
DELETE_ITEM_CONFIRM	291	signal2	%s%d	exact	
DISPLAY_SIZE_CHANGED	511	signal	()	exact	
DUEL_FINISHED	383	signal	()	exact	
DUEL_INBOUNDS	382	signal	()	exact	
DUEL_OUTOFBOUNDS	381	signal	()	exact	
DUEL_REQUESTED	380	signal2	%s	exact	
EQUIP_BIND_CONFIRM	288	signal2	%d	exact	
EXECUTE_CHAT_LINE	392	signal2	%s	exact	
FRIENDLIST_UPDATE	351	signal	()	exact	
GMSURVEY_DISPLAY	538	signal	()	exact	
GM_PLAYER_INFO	409		?	none	
GOSSIP_CLOSED	299	signal	()	exact	
GOSSIP_ENTER_CODE	298	signal2	%d	exact	
GOSSIP_SHOW	297	signal	()	exact	
GUILD_INVITE_CANCEL	283	signal	()	exact	
GUILD_INVITE_REQUEST	282	signal2	%s%s	exact	
GUILD_MOTD	284	signal2	%s	exact	
GUILD_REGISTRAR_CLOSED	379	signal	()	exact	
GUILD_REGISTRAR_SHOW	378	signal	()	exact	
GUILD_ROSTER_UPDATE	408	signal|signal2	%d|()	exact	
IGNORELIST_UPDATE	352	signal	()	exact	
IGR_BILLING_NAG_DIALOG	518	signal	()	exact	
INSPECT_HONOR_UPDATE	525	signal	()	exact	
INSTANCE_BOOT_START	508	signal	()	exact	
INSTANCE_BOOT_STOP	509	signal	()	exact	
ITEM_LOCK_CHANGED	188	signal	()	exact	
ITEM_PUSH	266	signal2	%d%s	exact	
ITEM_TEXT_BEGIN	293	signal	()	exact	
ITEM_TEXT_CLOSED	296	signal	()	exact	
ITEM_TEXT_READY	295	signal	()	exact	
ITEM_TEXT_TRANSLATION	294	signal2	%f	exact	
LANGUAGE_LIST_CHANGED	258	signal	()	exact	
LEARNED_SPELL_IN_TAB	510	signal2	%d	exact	
LOCALPLAYER_PET_RENAMED	331	signal	()	exact	
LOGOUT_CANCEL	278	signal	()	exact	
LOOT_BIND_CONFIRM	287	signal2	%u	exact	
LOOT_CLOSED	269	signal	()	exact	
LOOT_OPENED	267	signal	()	exact	
LOOT_SLOT_CLEARED	268	signal2	%d	exact	
LOTTERY_ITEM_UPDATE	548	signal	()	exact	
LOTTERY_SHOW	543	signal	()	exact	
MACRO_ACTION_FORBIDDEN	431	signal	()	exact	
MAIL_CLOSED	411	signal	()	exact	
MAIL_FAILED	514	signal	()	exact	
MAIL_INBOX_UPDATE	416	signal	()	exact	
MAIL_SEND_INFO_UPDATE	414	signal	()	exact	
MAIL_SEND_SUCCESS	415	signal	()	exact	
MAIL_SHOW	410	signal	()	exact	
MEETINGSTONE_CHANGED	519	signal	()	exact	
MEMORY_EXHAUSTED	433	signal2	%d	exact	
MEMORY_RECOVERED	434	signal	()	exact	
MERCHANT_CLOSED	318	signal	()	exact	
MERCHANT_SHOW	316	signal	()	exact	
MERCHANT_UPDATE	317	signal	()	exact	
MINIGAME_UPDATE	535	signal	()	exact	
MINIMAP_PING	357	signal2	%s%f%f	exact	
MINIMAP_UPDATE_ZOOM	207	signal	()	exact	
MINIMAP_ZONE_CHANGED	206	signal	()	exact	
MIRROR_TIMER_PAUSE	363	signal2	%s%d	exact	
MIRROR_TIMER_START	362	signal2	%s%d%d%d%d%s	exact	
MIRROR_TIMER_STOP	364	signal2	%s	exact	
NEW_AUCTION_UPDATE	423	signal	()	exact	
OPEN_MASTER_LOOT_LIST	503	signal	()	exact	
OPEN_TABARD_FRAME	374	signal	()	exact	
PARTY_INVITE_CANCEL	281	signal	()	exact	
PARTY_INVITE_REQUEST	280	signal2	%s	exact	
PARTY_LEADER_CHANGED	219	signal	()	exact	
PARTY_LOOT_METHOD_CHANGED	222	signal	()	exact	
PARTY_MEMBERS_CHANGED	218	signal	()	exact	
PARTY_MEMBER_DISABLE	221	signal2	%d	exact	
PARTY_MEMBER_ENABLE	220	signal2	%d	exact	
PETITION_CLOSED	391	signal	()	exact	
PETITION_SHOW	390	signal	()	exact	
PET_ATTACK_START	334		?	none	
PET_ATTACK_STOP	335	signal	()	exact	
PET_BAR_HIDEGRID	356	signal	()	exact	
PET_BAR_SHOWGRID	355	signal	()	exact	
PET_BAR_UPDATE	353	signal	()	exact	
PET_BAR_UPDATE_COOLDOWN	354	signal	()	exact	
PET_DISMISS_START	385	signal2	%d	exact	
PET_STABLE_CLOSED	440	signal	()	exact	
PET_STABLE_SHOW	437	signal	()	exact	
PET_STABLE_UPDATE	438	signal	()	exact	
PET_STABLE_UPDATE_PAPERDOLL	439	signal	()	exact	
PET_UI_CLOSE	428	signal	()	exact	
PET_UI_UPDATE	427	signal	()	exact	
PLAYERBANKBAGSLOTS_CHANGED	350	signal	()	exact	
PLAYERBANKSLOTS_CHANGED	347	signal|signal2	%s|()	exact	
PLAYER_ALIVE	274	signal	()	exact	
PLAYER_AURAS_CHANGED	192	signal	()	exact	
PLAYER_CAMPING	276		?	none	
PLAYER_COMBO_POINTS	202	signal	()	exact	
PLAYER_CONTROL_GAINED	197	signal	()	exact	
PLAYER_CONTROL_LOST	196	signal	()	exact	
