# Lua binding shapes of the 1.12.1 client (WoW.exe build 5875): one row per registered
# binding, name -> (argc, return arity, return kinds), with per-column confidence.
#
# 82 registrar tables, 1722 bindings, 1722 analysed, 0 unresolved registrar sites. Four
# registration routes, extents read from the registrar's own literal: 0x704120
# RegisterFunction loops; 0x701d80 widget method tables; the inlined base-library loop at
# 0x811e28; and the four luaL_openlib 0x6f4dc0 tables (bit/math/table/string).
#
# Column contract:
#   arity / arity_conf   sound. exact = one constant; set = a `|`-separated set of possible
#     counts; unknown = `?`. An imprecise result is a set or `?`, never a wrong single
#     number. Gate on this.
#   kind `string?`       string or nil. lua_pushstring 0x6f3890 begins `test edx,edx ; jne`
#     and tail-jumps to lua_pushnil when the char* is NULL, so `string` is emitted only where
#     the pointer is a constant that resolves to a readable literal; every other
#     lua_pushstring is `string?`. A miss path can show a fixed arity and still answer nil in
#     that slot (GetMapInfo -> nil,0,0; GetChannelName -> 0,nil,0).
#   kinds / kinds_conf   advisory unless kinds_conf == agree: the independent lua_push* trace
#     length matches `eax` at every ret, and every ret was checked. A loop (GetTexCoord: 2
#     textual pushes, 8 real) -> unverified. `agree` is about the binding's own ops:
#     lua_gettable 0x6f3a40 and lua_rawget 0x6f3b00 replace the key on top with the looked-up
#     value (recorded as `any`), and a callee that pushes on the binding's behalf is invisible
#     to the trace, so the returned window may hold slots it never described (note
#     `delegated-push`).
#   argc / argc_conf     never gate on this. argc is a max over observed constant Lua stack
#     indices, with no unknown state, and a silent lower bound when a binding delegates
#     argument parsing to a helper. Such rows say lower-bound, but the detector is one level
#     deep, so treat every argc as a floor.
#   name       not a key. 60 names are registered from more than one table and 21 of those
#     differ in arity between registrations: GetBuildInfo returns 5 on the glue screen (table
#     0x8373b8) and 3 in-game (0x83de68); GetAddOnInfo 8 and 7. Key on `fn`, or on
#     (table_va, name). Every such row carries the note name-not-unique.
#   notes  stack-leak = the reference pushes a value and then returns 0 (or fewer): the
#     disabled lottery/vendor stubs, which a faithful client does not copy. variadic = the
#     count comes from lua_gettop, no constant exists. delegated-push = a foreign callee
#     pushes on the binding's behalf, so `agree` covers this row's own ops only.
#     cfg-truncated / indirect-branch / iteration-cap = an edge the walk could not resolve;
#     such a row's arity is not covered by the soundness claim above.
#
# Vendored from the maintainer's analysis (`WOW_RE`); no generator for it lives in this repo.
name	fn	pair_va	table_va	table_kind	argc	argc_conf	arity	arity_conf	kinds	kinds_conf	notes
AbandonQuest	0x4dfe00	0x84b128	0x84b0f0	global	0	exact	0	exact	()	agree	
AbandonSkill	0x4d3ab0	0x849d08	0x849cf8	global	1	exact	0	exact	()	agree	
AcceptAreaSpiritHeal	0x48df20	0x83e468	0x83de68	global	0	exact	0	exact	()	agree	
AcceptBattlefieldPort	0x4ab3b0	0x845810	0x8457e0	global	2	exact	0	exact	()	agree	
AcceptContest	0x46d150	0x837478	0x8373b8	global	0	exact	0	exact	()	agree	
AcceptDuel	0x4d4ce0	0x849fb8	0x849fa8	global	0	exact	0	exact	()	agree	
AcceptEULA	0x46d070	0x837448	0x8373b8	global	0	exact	0	exact	()	agree	
AcceptGroup	0x48aa80	0x83e158	0x83de68	global	0	exact	0	exact	()	agree	
AcceptGuild	0x48aae0	0x83e168	0x83de68	global	0	exact	0	exact	()	agree	
AcceptQuest	0x501d20	0x84e9e0	0x84e968	global	0	exact	0	exact	()	agree	
AcceptResurrect	0x48a9a0	0x83e128	0x83de68	global	0	exact	0	exact	()	agree	
AcceptScanning	0x46d0e0	0x837460	0x8373b8	global	0	exact	0	exact	()	agree	
AcceptSkillUps	0x4d3d40	0x849d38	0x849cf8	global	0	exact	0	exact	()	agree	
AcceptTOS	0x46d000	0x837430	0x8373b8	global	0	exact	0	exact	()	agree	
AcceptTrade	0x4c06e0	0x847a30	0x8479f8	global	0	exact	0	exact	()	agree	
AcceptXPLoss	0x48d0c0	0x83e350	0x83de68	global	0	exact	0	exact	()	agree	
ActionHasRange	0x4e75d0	0x84bd90	0x84bd10	global	1	exact	1	exact	(nil) | (number)	agree	
AddChatWindowChannel	0x4a1000	0x843730	0x843618	global	2	exact	0|1	set	() | (number)	agree	
AddChatWindowMessages	0x4a0e80	0x843720	0x843618	global	2	exact	0	exact	()	agree	
AddDoubleLine	0x531840	0x8541d8	0x854198	widget	10	exact	0	exact	()	agree	
AddFontStrings	0x530c40	0x854198	0x854198	widget	2	lower-bound	0	exact	()	agree	
AddFriend	0x5ad290	0x85d850	0x85d830	global	1	exact	0	exact	()	agree	
AddHistoryLine	0x798960	0x87bc68	0x87bb68	widget	2	exact	0	exact	()	agree	
AddIgnore	0x5ad5f0	0x85d890	0x85d830	global	1	exact	0	exact	()	agree	
AddLine	0x531630	0x8541d0	0x854198	widget	6	exact	0	exact	()	agree	
AddMessage	0x792900	0x87b640	0x87b5c0	widget	6	exact	0	exact	()	agree	name-not-unique
AddMessage	0x795590	0x87ba20	0x87b960	widget	6	exact	0	exact	()	agree	name-not-unique
AddOrDelIgnore	0x5ad5a0	0x85d888	0x85d830	global	1	exact	0	exact	()	agree	
AddQuestWatch	0x4e1930	0x84b1e8	0x84b0f0	global	1	exact	0	exact	()	agree	
AddSkillUp	0x4d3c30	0x849d20	0x849cf8	global	1	exact	0	exact	()	agree	
